Year,Model,MSRP,MPG,Style,Image
2026,4Runner,"$41,570",20/26,SUV,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/4runner/base.png
2025,4Runner,"$41,270",20/26,SUV,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/4runner/base.png
2026,4Runner i-FORCE MAX,"$52,790",23/24,SUV,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/4runnerhybrid/base.png
2025,4Runner i-FORCE MAX,"$52,490",23/24,SUV,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/4runnerhybrid/base.png
2026,bZ,"$34,900",52/49,SUV,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/bz/base.png
2026,Camry,"$29,000",53/50,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/camry/base.png
2025,Camry,"$28,700",32/41,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/camry/base.png
2026,Corolla,"$22,725",32/41,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/corolla/base.png
2025,Corolla,"$22,325",31/33,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corolla/base.png
2025,Corolla Cross,"$24,135",31/33,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollacross/base.png
2026,Corolla Cross,"$24,935",45/38,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/corollacross/base.png
2025,Corolla Cross Hybrid,"$28,495",46/39,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollacrosshybrid/base.png
2026,Corolla Cross Hybrid,"$29,295",32/41,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/corollacrosshybrid/base.png
2026,Corolla Hatchback,"$24,180",32/41,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/corollahatchback/base.png
2025,Corolla Hatchback,"$23,780",53/46,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollahatchback/base.png
2026,Corolla Hybrid,"$24,575",53/46,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/corollahybrid/base.png
2025,Corolla Hybrid,"$23,825",21/28,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollahybrid/base.png
2026,GR Corolla,"$39,920",21/28,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/grcorolla/base.png
2025,GR Corolla,"$39,160",23/31,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grcorolla/base.png
2025,GR Supra,"$56,250",22/29,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grsupra/base.png
2026,GR Supra,"$57,500",21/30,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/grsupra/base.png
2026,GR86,"$30,800",20/26,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/gr86/base.png
2025,GR86,"$30,400",21/28,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/gr86/base.png
2025,Grand Highlander,"$40,860",21/28,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grandhighlander/base.png
2026,Grand Highlander,"$41,360",37/34,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/grandhighlander/base.png
2025,Grand Highlander Hybrid,"$44,210",37/34,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grandhighlanderhybrid/base.png
2026,Grand Highlander Hybrid,"$44,710",21/28,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/grandhighlanderhybrid/base.png
2026,Highlander,"$45,270",22/29,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/highlander/base.png
2025,Highlander,"$40,320",35/35,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/highlander/base.png
2026,Highlander Hybrid,"$47,020",35/35,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/highlanderhybrid/base.png
2025,Highlander Hybrid,"$46,820",22/25,Hybrid,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/highlanderhybrid/base.png
2025,Land Cruiser,"$56,700",22/25,SUV,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/landcruiser/base.png
2026,Land Cruiser,"$57,200",76/71,SUV,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/landcruiser/base.png
2025,Mirai,"$51,795",57/56,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/mirai/base.png
2025,Prius,"$28,350",57/56,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/prius/base.png
2026,Prius,"$28,550",48/114,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/prius/base.png
2025,Prius Plug-in Hybrid,"$33,375",52/127,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/priuspluginhybrid/base.png
2026,Prius Plug-in Hybrid,"$33,775",27/35,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/priuspluginhybrid/base.png
2025,RAV4,"$29,800",41/38,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4/base.png
2025,RAV4 Hybrid,"$32,850",38/94,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4hybrid/base.png
2025,RAV4 Plug-in Hybrid,"$44,815",21/24,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4pluginhybrid/base.png
2025,Sequoia,"$62,425",21/24,SUV,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sequoia/base.png
2026,Sequoia,"$64,025",36/36,SUV,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/sequoia/base.png
2026,Sienna,"$40,120",36/36,Minivan,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/sienna/base.png
2025,Sienna,"$39,485",21/26,Minivan,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sienna/base.png
2024,Tacoma,"$31,500",21/26,Truck,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacoma/base.png
2025,Tacoma,"$31,590",23/24,Truck,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacoma/base.png
2024,Tacoma i-FORCE MAX,"$46,300",23/24,Truck,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacomahybrid/base.png
2025,Tacoma i-FORCE MAX,"$46,720",42/41,Truck,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacomahybrid/base.png
2025,Toyota Crown,"$41,440",42/41,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrown/base.png
2026,Toyota Crown,"$41,440",39/37,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/toyotacrown/base.png
2025,Toyota Crown Signia,"$44,090",18/23,Car,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrownsignia/base.png
2025,Tundra,"$40,090",18/23,Truck,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundra/base.png
2026,Tundra,"$41,260",20/24,Truck,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2026/tundra/base.png
2025,Tundra i-FORCE MAX,"$58,005",20/24,Truck,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundrahybrid/base.png
